,lat,long
147,38.889820150000006,-77.04024448558823
148,39.6903253,-4.4273603
149,,
150,44.9189015,-93.3906083
151,51.2029228,7.3571392
152,50.1106444,8.6820917
153,38.4166818,-95.8530441
154,,
155,51.3385156,-0.115893
156,51.8921899,4.4406806
157,,
158,48.6762624,5.8941759
159,-34.901351649999995,138.8293202817461
160,42.8620287,-112.450627
161,,
162,41.9793006,2.8199439
163,41.3670014,-79.9292233
164,44.9332277,4.8920811
165,,
166,41.4486619,-84.7480123
167,41.4486619,-84.7480123
168,41.3874149,-80.8692229
169,33.4764767,-100.855685
170,,
171,47.6571934,-117.42351
172,52.4479235,11.4852603
173,41.1305303,-82.591828
174,35.0457219,-85.3094883
175,49.2577886,4.031926
176,41.96238765,-72.31292971461522
177,45.2965257,-117.8079872
178,,
179,,
180,39.6296809,-79.9559437
181,40.735657,-74.1723667
182,,
183,32.7174202,-117.1627728
184,22.2329889,-97.8614802
185,47.3226787,18.9632427
186,36.7753606,3.0601882
187,20.0214637,-75.8294928
188,41.3828939,2.1774322
189,,
190,44.9497487,-93.0931028
191,,
192,39.9622601,-83.0007065
193,34.405472,-103.2050709
194,43.5854823,39.723109
195,52.1936843,10.81915217124876
196,34.8480597,-114.6141316
197,,
198,25.6436156,57.7745644
199,40.0,-40.0
200,46.4863065,-80.9994372
201,41.5960149,-72.7414284
202,,
203,32.61858505,-116.18746639559517
204,,
205,40.3933956,-82.4857181
206,,
207,20.40446215,-97.28924571585102
208,,
209,42.6617712,9.2369442
210,,
211,45.6306954,-122.6744557
212,41.436589,-81.3855058
213,,
214,35.2072185,-101.833824
215,,
216,-18.779148749999997,46.71217161656727
217,33.1958696,-117.3794834
218,,
219,39.100105,-94.5781416
220,41.764582,-72.6908547
221,51.30251775,-1.8792256376508032
222,40.7215682,-74.047455
223,45.4838459,9.2147675
224,42.3554334,-71.060511
225,55.1432481,14.922572806434074
226,27.6455368,-98.0841975
227,,
228,,
229,51.3713049,-0.101957
230,53.5462055,-113.491241
231,,
232,51.0493286,13.7381437
233,,
234,-31.9558964,115.8605801
235,54.3126572,-130.32549
236,,
237,40.6028144,-86.8672339
238,,
239,,
240,31.2322758,121.4692071
241,51.00303,3.7988833
242,45.7422174,-122.1909475
243,-37.7398071,176.0826134
244,49.968373,-98.6290814
245,10.6735993,-61.5327094
246,-31.8759835,147.2869493
247,38.2719604,-96.5352854
248,,
249,34.1816482,-118.3258554
250,,
251,40.9134862,-77.7737471
252,,
253,41.5795195,-83.4924358983687
254,49.234362,6.996379
255,41.8755616,-87.6244212
256,-34.3830356,147.46858599208093
257,38.5250491,-89.1334037
258,,
259,39.1014537,-84.5124602
260,41.8755616,-87.6244212
261,,
262,37.8044557,-122.271356
263,,
264,-10.3333333,-53.2
265,39.9448402,-75.1198911
266,-34.1176801,18.910297
267,40.7596198,-111.8867975
268,36.6671012,117.0192886
269,46.2306739,-119.0921
270,41.2455927,-89.9248303
271,13.7524938,100.4935089
272,36.6981025,3.0951001
273,39.9234046,-83.810138
274,42.1380804,-88.7834283
275,34.8416435,-118.8648189
276,25.8143476,-80.1929369
277,38.1557502,-121.6913439
278,42.0258779,-85.8155576
279,,
280,38.6133731,-90.14629
281,34.0039044,-117.0619774
282,40.3697905,-80.6339638
283,,
284,41.39311,-81.536509
285,41.0799898,-85.1386015
286,34.1816482,-118.3258554
287,45.5202471,-122.674194
288,,
289,33.8959203,35.47843
290,,
291,32.6336265,-97.0780706
292,51.3362108,-0.0772673
293,-28.6483333,153.6177778
294,20.9127045,-17.0503094
295,-33.6899965,-71.035406
296,51.3334726,1.4196476
297,,
298,34.7737082,-90.7576112
299,35.2072185,-101.833824
300,37.0973771,-108.0930233
301,-37.507870100000005,149.92651512146904
302,36.7753606,3.0601882
303,40.735657,-74.1723667
304,33.9528472,-84.5496148
305,32.6944091,-97.1823752
306,44.0505054,-123.0950506
307,,
308,37.6688205,-122.080796
309,,
310,52.226706899999996,10.710483448136292
311,,
312,,
313,47.8701474,12.6423403
314,,
315,38.0498524,-77.3469994
316,42.0700662,-87.8114044
317,38.0580504,25.721561172355706
318,35.1439219,-103.4183431
319,,
320,41.6105938,-87.0641992
321,47.6441521,6.6750345
322,45.5202471,-122.674194
323,34.9972037,-106.0494876
324,36.6671012,117.0192886
325,,
326,41.4361933,-88.7735303
327,53.550341,10.000654
328,-28.889191,31.4704425
329,,
330,47.2574315,3.6843003
331,,
332,,
333,35.2671843,-3.0329882
334,40.0117151,-89.8481652
335,4.8142838,-75.6946671
336,,
337,,
338,49.82921075,-2.49845361947528
339,51.3713049,-0.101957
340,41.9909235,-74.6840456
341,-34.5934412,-60.9461678
342,,
343,34.1816482,-118.3258554
344,34.8253019,-116.0833144
345,,
346,-12.285251,-41.9294776
347,29.8622194,121.6203873
348,39.8870003,-94.892021
349,49.82921075,-2.49845361947528
350,,
351,-34.6786912,150.8539828
352,,
353,,
354,,
355,52.4438124,11.5761196
356,38.951883,-92.3337366
357,20.2126686,-75.9973941
358,,
359,36.2434093,-84.6699442
360,25.029422,-77.36195598496681
361,24.9455669,67.0291459
362,40.3693889,-80.6243098
363,53.5259287,8.1276825
364,,
365,50.947476,12.7638473
366,31.1272509,33.8045859
367,,
368,49.4300997,2.0823355
369,51.3955721,8.5677743
370,,
371,39.898646,-92.4810208
372,55.758285650000005,37.60436886144644
373,43.0161693,-83.6900211
374,42.502747,-105.026083
375,41.8789942,-87.8436412
376,,
377,6.2443382,-75.573553
378,52.3727598,4.8936041
379,,
380,46.4173554,9.2260033
381,51.4816546,-3.1791934
382,6.0572745,-75.502611
383,30.0443879,31.2357257
384,,
385,,
386,,
387,,
388,34.1816482,-118.3258554
389,,
390,,
391,,
392,59.87373345,26.323191633761212
393,42.7284117,-73.6917878
394,38.040803,-121.336657
395,,
396,32.73475075,-97.4358447663669
397,40.63591975,17.688443357842537
398,43.5139051,4.9884323
399,55.7646281,37.6312342
400,51.3713049,-0.101957
401,,
402,,
403,4.71507735,-75.7508642033295
404,34.9381496,-91.0209529
405,,
406,,
407,33.1838787,-97.1413417
408,35.2698375,-75.52139777222223
409,-45.0,-15.0
410,,
411,-30.6030819,-71.2029894
412,,
413,,
414,39.900076,-79.7164326
415,10.6472492,-61.51139452899346
416,,
417,47.1606885,7.212695
418,50.5331612,2.1523287
419,47.5581077,7.5878261
420,-37.8752637,145.1281258
421,55.6052931,13.0001566
422,52.3744779,9.7385532
423,,
424,45.84264135,15.962231476593626
425,37.9161378,69.7815382
426,,
427,43.4902317,2.3764363
428,,
429,38.6319657,-90.2428756
430,6.0000085,-77.0000086
431,50.6883603,7.6377853203074615
432,35.21476065,25.71221549965381
433,40.4490985,-79.8982453
434,32.1288331,20.0817204
435,49.82921075,-2.49845361947528
436,,
437,,
438,17.8346002,-93.9307689
439,53.785097,-1.099040720243205
440,,
441,49.453872,11.077298
442,51.5073219,-0.1276474
443,,
444,55.758285650000005,37.60436886144644
445,,
446,51.3713049,-0.101957
447,,
448,47.5382349,-116.118887
449,,
450,32.9384683,-96.81888258922507
451,32.0437694,118.7788749
452,34.3798765,-118.5291917
453,,
454,,
455,35.7032751,-0.6492976
456,37.7255163,-122.4343609
457,,
458,,
459,,
460,41.2228616,-75.5476872
461,,
462,40.014561,-74.3112574
463,48.7784485,9.1800132
464,,
465,25.029422,-77.36195598496681
466,,
467,50.7360524,4.2374349
468,21.7960994,31.3718673
469,,
470,47.13897525,24.49755169876672
471,,
472,29.2108147,-81.0228331
473,-33.2762202,-65.9515546
474,-7.3403142,146.7172732
475,,
476,,
477,,
478,,
479,52.2337172,21.071432235636493
480,49.4892913,8.4673098
481,52.2337172,21.071432235636493
482,51.2258565,2.919496
483,51.3713049,-0.101957
484,48.1371079,11.5753822
485,,
486,40.63591975,17.688443357842537
487,47.35727,5.41413
488,,
489,50.1106444,8.6820917
490,45.6794293,-111.044047
491,-14.2754786,-170.7048298
492,45.00974195,-80.04597932602417
493,,
494,67.151442,32.4130551
495,34.8980615,-104.8282135
496,43.2961743,5.3699525
497,35.0000035,19.9999957
498,49.0508845,2.1008067
499,,
500,25.75,78.5
501,-30.9392349,150.6406221
502,42.4662469,2.5792263
503,,
504,19.4231214,-99.1023994
505,-44.270871150000005,-176.29313281747733
506,,
507,-23.5506507,-46.6333824
508,41.4996574,-81.6936772
509,,
510,53.7408705,7.485916907277579
511,,
512,,
513,45.7874957,-108.49607
514,40.825294,8.434269166260979
515,5.627871750000001,-75.94516744951865
516,,
517,-0.1029109,34.7541761
518,,
519,47.531399,21.6259782
520,32.27912565,130.23703362826126
521,,
522,54.3227085,10.135555
523,-22.888889,-47.065556
